<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
structures/us_37mm_m3_noground_0;Artillery
structures/us_37mm_m3_noground_1;Artillery
structures/us_37mm_m3_noground_2;Artillery
structures/us_57mm_m1_0;Artillery
structures/us_57mm_m1_1;Artillery
structures/us_57mm_m1_2;Artillery
structures/us_57mm_m1_noground_0;Artillery
structures/us_57mm_m1_noground_1;Artillery
structures/us_57mm_m1_noground_2;Artillery
structures/ussr_152mm_ml20_0;Artillery
structures/ussr_152mm_ml20_1;Artillery
structures/ussr_152mm_ml20_2;Artillery
structures/ussr_152mm_ml20_large_0;Artillery
structures/ussr_152mm_ml20_large_1;Artillery
structures/ussr_152mm_ml20_large_2;Artillery
structures/ussr_152mm_d1_illum_0;Artillery
structures/ussr_152mm_d1_illum_1;Artillery
structures/ussr_152mm_d1_illum_2;Artillery
structures/ussr_quest_large_art_0;Howitzer
structures/ussr_quest_large_art_1;Howitzer
structures/ussr_quest_large_art_2;Howitzer
structures/ussr_quest_large_art_noground_0;Howitzer
structures/ussr_quest_large_art_noground_1;Howitzer
structures/ussr_quest_large_art_noground_2;Howitzer
structures/ussr_57mm_zis2_0;Artillery
structures/ussr_57mm_zis2_1;Artillery
structures/ussr_57mm_zis2_2;Artillery
structures/ussr_57mm_zis2_noground_0;Artillery
structures/ussr_57mm_zis2_noground_1;Artillery
structures/ussr_57mm_zis2_noground_2;Artillery
structures/ussr_76mm_zis3_0;Artillery
structures/ussr_76mm_zis3_1;Artillery
structures/ussr_76mm_zis3_2;Artillery
structures/ussr_76mm_zis3_noground_0;Artillery
structures/ussr_76mm_zis3_noground_1;Artillery
structures/ussr_76mm_zis3_noground_2;Artillery
structures/ussr_122mm_m30_0;Artillery
structures/ussr_122mm_m30_1;Artillery
structures/ussr_122mm_m30_2;Artillery
structures/ussr_122mm_m30_noground_0;Artillery
structures/ussr_122mm_m30_noground_1;Artillery
structures/ussr_122mm_m30_noground_2;Artillery
structures/ussr_152mm_d1_0;Artillery
structures/ussr_152mm_d1_1;Artillery
structures/ussr_152mm_d1_2;Artillery
structures/swe_120mm_coastal_0;Coastal artillery
structures/swe_120mm_coastal_1;Coastal artillery
structures/swe_120mm_coastal_2;Coastal artillery
structures/swe_152mm_coastal_0;Coastal artillery
structures/swe_152mm_coastal_1;Coastal artillery
structures/swe_152mm_coastal_2;Coastal artillery
structures/us_152mm_coastal_0;Coastal artillery
structures/us_152mm_coastal_1;Coastal artillery
structures/us_152mm_coastal_2;Coastal artillery
tracked_vehicles/germ_hummel_0;SPG
tracked_vehicles/germ_hummel_1;SPG
tracked_vehicles/germ_hummel_2;SPG
tracked_vehicles/germ_jagdpanther_0;SPG
tracked_vehicles/germ_jagdpanther_1;SPG
tracked_vehicles/germ_jagdpanther_2;SPG
tracked_vehicles/germ_marderIII_0;SPG
tracked_vehicles/germ_marderIII_1;SPG
tracked_vehicles/germ_marderIII_2;SPG
tracked_vehicles/germ_pzIIf_0;Light tank
tracked_vehicles/germ_pzIIf_1;Light tank
tracked_vehicles/germ_pzIIf_2;Light tank
tracked_vehicles/germ_pzIIIj_0;Medium tank
tracked_vehicles/germ_pzIIIj_1;Medium tank
tracked_vehicles/germ_pzIIIj_2;Medium tank
tracked_vehicles/germ_pzIVc_0;Medium tank
tracked_vehicles/germ_pzIVc_1;Medium tank
tracked_vehicles/germ_pzIVc_2;Medium tank
tracked_vehicles/germ_pzIVh_0;Medium tank
tracked_vehicles/germ_pzIVh_1;Medium tank
tracked_vehicles/germ_pzIVh_2;Medium tank
tracked_vehicles/italy_semovente_75_18_0;Medium tank
tracked_vehicles/italy_semovente_75_18_1;Medium tank
tracked_vehicles/italy_semovente_75_18_2;Medium tank
tracked_vehicles/germ_pzV_a_panter_0;Heavy tank
tracked_vehicles/germ_pzV_a_panter_1;Heavy tank
tracked_vehicles/germ_pzV_a_panter_3;Heavy tank
tracked_vehicles/germ_pzV_g_panter_0;Heavy tank
tracked_vehicles/germ_pzV_g_panter_1;Heavy tank
tracked_vehicles/germ_pzV_g_panter_3;Heavy tank
tracked_vehicles/germ_stugIII_0;SPG
tracked_vehicles/germ_stugIII_1;SPG
tracked_vehicles/germ_stugIII_2;SPG
tracked_vehicles/germ_stugIIID_0;SPG
tracked_vehicles/germ_stugIIID_1;SPG
tracked_vehicles/germ_stugIIID_2;SPG
tracked_vehicles/germ_stugIV_0;SPG
tracked_vehicles/germ_stugIV_1;SPG
tracked_vehicles/germ_stugIV_2;SPG
tracked_vehicles/germ_tigerI_0;Heavy tank
tracked_vehicles/germ_tigerI_1;Heavy tank
tracked_vehicles/germ_tigerI_2;Heavy tank
tracked_vehicles/germ_tigerII_0;Heavy tank
tracked_vehicles/germ_tigerII_1;Heavy tank
tracked_vehicles/germ_tigerII_2;Heavy tank
tracked_vehicles/germ_wespe_0;Light tank
tracked_vehicles/germ_wespe_1;Light tank
tracked_vehicles/germ_wespe_2;Light tank
tracked_vehicles/jpn_t89_IGo_0;Light tank
tracked_vehicles/jpn_t89_IGo_1;Light tank
tracked_vehicles/jpn_t89_IGo_2;Light tank
tracked_vehicles/jpn_t95_HaGo_0;Armored Car
tracked_vehicles/jpn_t95_HaGo_1;Armored Car
tracked_vehicles/jpn_t95_HaGo_2;Armored Car
tracked_vehicles/jpn_t97_ChiHa_0;Light tank
tracked_vehicles/jpn_t97_ChiHa_1;Light tank
tracked_vehicles/jpn_t97_ChiHa_2;Light tank
tracked_vehicles/jpn_t97_Shinhoto_ChiHa_0;Light tank
tracked_vehicles/jpn_t97_Shinhoto_ChiHa_1;Light tank
tracked_vehicles/jpn_t97_Shinhoto_ChiHa_2;Light tank
tracked_vehicles/jpn_t97_ChiHa_Med_0;Medium tank
tracked_vehicles/jpn_t97_ChiHa_Med_1;Medium tank
tracked_vehicles/jpn_t97_ChiHa_Med_2;Medium tank
tracked_vehicles/uk_matilda_mkII_0;Medium tank
tracked_vehicles/uk_matilda_mkII_1;Medium tank
tracked_vehicles/uk_matilda_mkII_2;Medium tank
tracked_vehicles/us_m10_0;Medium tank
tracked_vehicles/us_m10_1;Medium tank
tracked_vehicles/us_m10_2;Medium tank
tracked_vehicles/us_m3_lee_0;Medium tank
tracked_vehicles/us_m3_lee_1;Medium tank
tracked_vehicles/us_m3_lee_2;Medium tank
tracked_vehicles/us_m4a1_0;Medium tank
tracked_vehicles/us_m4a1_1;Medium tank
tracked_vehicles/us_m4a1_2;Medium tank
tracked_vehicles/us_m4a1_calliope_0;Medium tank
tracked_vehicles/us_m4a1_calliope_1;Medium tank
tracked_vehicles/us_m4a1_calliope_2;Medium tank
tracked_vehicles/us_m4a2_0;Medium tank
tracked_vehicles/us_m4a2_1;Medium tank
tracked_vehicles/us_m4a2_2;Medium tank
tracked_vehicles/us_m4a2_76w_0;Medium tank
tracked_vehicles/us_m4a2_76w_1;Medium tank
tracked_vehicles/us_m4a2_76w_2;Medium tank
tracked_vehicles/us_m5a1_stuart6_0;Light tank
tracked_vehicles/us_m5a1_stuart6_1;Light tank
tracked_vehicles/us_m5a1_stuart6_2;Light tank
tracked_vehicles/us_priest_m7_0;Medium tank
tracked_vehicles/us_priest_m7_1;Medium tank
tracked_vehicles/us_priest_m7_2;Medium tank
tracked_vehicles/ussr_bt7_0;Light tank
tracked_vehicles/ussr_bt7_1;Light tank
tracked_vehicles/ussr_bt7_2;Light tank
tracked_vehicles/ussr_is2_0;Heavy tank
tracked_vehicles/ussr_is2_1;Heavy tank
tracked_vehicles/ussr_is2_2;Heavy tank
tracked_vehicles/ussr_kv1_0;Heavy tank
tracked_vehicles/ussr_kv1_1;Heavy tank
tracked_vehicles/ussr_kv1_2;Heavy tank
tracked_vehicles/ussr_kv1s_0;Heavy tank
tracked_vehicles/ussr_kv1s_1;Heavy tank
tracked_vehicles/ussr_kv1s_2;Heavy tank
tracked_vehicles/ussr_kv2_0;Heavy tank
tracked_vehicles/ussr_kv2_1;Heavy tank
tracked_vehicles/ussr_kv2_2;Heavy tank
tracked_vehicles/ussr_isu152_0;SPG
tracked_vehicles/ussr_isu152_1;SPG
tracked_vehicles/ussr_isu152_2;SPG
tracked_vehicles/ussr_su100_0;SPG
tracked_vehicles/ussr_su100_1;SPG
tracked_vehicles/ussr_su100_2;SPG
tracked_vehicles/ussr_su76_0;SPG
tracked_vehicles/ussr_su76_1;SPG
tracked_vehicles/ussr_su76_2;SPG
tracked_vehicles/ussr_su85_0;SPG
tracked_vehicles/ussr_su85_1;SPG
tracked_vehicles/ussr_su85_2;SPG
tracked_vehicles/ussr_t34_85_0;Medium tank
tracked_vehicles/ussr_t34_85_1;Medium tank
tracked_vehicles/ussr_t34_85_2;Medium tank
tracked_vehicles/ussr_t34_mode41_0;Medium tank
tracked_vehicles/ussr_t34_mode41_1;Medium tank
tracked_vehicles/ussr_t34_mode41_2;Medium tank
tracked_vehicles/ussr_t34_mode43_0;Medium tank
tracked_vehicles/ussr_t34_mode43_1;Medium tank
tracked_vehicles/ussr_t34_mode43_2;Medium tank
tracked_vehicles/ussr_t60_0;Light tank
tracked_vehicles/ussr_t60_1;Light tank
tracked_vehicles/ussr_t60_2;Light tank
tracked_vehicles/ussr_t70m_0;Light tank
tracked_vehicles/ussr_t70m_1;Light tank
tracked_vehicles/ussr_t70m_2;Light tank
germ_t_34_747_shop;▀T 34 747 (r)
germ_t_34_747_0;▀Pz.Kpfw. T 34 747 (r)
germ_t_34_747_1;▀T 34 747 (r)
germ_t_34_747_2;▀T 34 747 (r)
germ_pzkpfw_VI_tiger_P_shop;VK 45.01 (P)
germ_pzkpfw_VI_tiger_P_0;VK 45.01 (P)
germ_pzkpfw_VI_tiger_P_1;VK 45.01 (P)
germ_pzkpfw_VI_tiger_P_2;VK 45.01 (P)
germ_pzkpfw_VI_ausf_e_tiger_shop;Tiger E
germ_pzkpfw_VI_ausf_e_tiger_0;Pz.Kpfw. VI Tiger Ausf. E
germ_pzkpfw_VI_ausf_e_tiger_1;Tiger E
germ_pzkpfw_VI_ausf_e_tiger_2;Tiger E
germ_pzkpfw_VI_ausf_h1_tiger_shop;Tiger H1
germ_pzkpfw_VI_ausf_h1_tiger_0;Pz.Kpfw. VI Tiger Ausf. H1
germ_pzkpfw_VI_ausf_h1_tiger_1;Tiger H1
germ_pzkpfw_VI_ausf_h1_tiger_2;Tiger H1
germ_pzkpfw_VI_ausf_h1_tiger_tutorial_shop;Tiger H1
germ_pzkpfw_VI_ausf_h1_tiger_tutorial_0;Pz.Kpfw. VI Tiger Ausf. H1
germ_pzkpfw_VI_ausf_h1_tiger_tutorial_1;Tiger H1
germ_pzkpfw_VI_ausf_h1_tiger_tutorial_2;Tiger H1
ussr_t_34E_shop;T-34E
ussr_t_34E_0;T-34E
ussr_t_34E_1;T-34E
ussr_t_34E_2;T-34E
ussr_t_34_1941_cast_turret_shop;T-34 (1st Gv.T.Br.)
ussr_t_34_1941_cast_turret_0;T-34 1941 (1st Gv.T.Br.)
ussr_t_34_1941_cast_turret_1;T-34 1941 (1st Gv.T.Br.)
ussr_t_34_1941_cast_turret_2;T-34 1941 (1st Gv.T.Br.)
ussr_t_34_1941_shop;T-34 (1941)
ussr_t_34_1941_0;T-34 (1941)
ussr_t_34_1941_1;T-34 (1941)
ussr_t_34_1941_2;T-34 (1941)
ussr_t_34_1942_shop;T-34 (1942)
ussr_t_34_1942_0;T-34 (1942)
ussr_t_34_1942_1;T-34 (1942)
ussr_t_34_1942_2;T-34 (1942)
ussr_t_34_1941_l_11_shop;T-34 (1940)
ussr_t_34_1941_l_11_0;T-34 (1940)
ussr_t_34_1941_l_11_1;T-34 (1940)
ussr_t_34_1941_l_11_2;T-34 (1940)
ussr_t_34_1940_l_11_shop;T-34 (Prototype)
ussr_t_34_1940_l_11_0;T-34 (Prototype)
ussr_t_34_1940_l_11_1;T-34 (Prototype)
ussr_t_34_1940_l_11_2;T-34 (Prototype)
jp_halftrack_m16_shop;▅M16 MGMC
jp_halftrack_m16_0;Multiple Gun Motor Carriage M16
jp_halftrack_m16_1;▅M16 MGMC
jp_halftrack_m16_2;▅M16 MGMC
us_halftrack_m16_shop;M16 MGMC
us_halftrack_m16_0;Multiple Gun Motor Carriage M16
us_halftrack_m16_1;M16 MGMC
us_halftrack_m16_2;M16 MGMC
us_halftrack_m15_shop;M15 CGMC
us_halftrack_m15_0;Combination Gun Motor Carriage M15
us_halftrack_m15_1;M15 CGMC
us_halftrack_m15_2;M15 CGMC
us_m42_duster_shop;M42
us_m42_duster_0;Twin 40 mm Self-Propelled Gun M42 Duster
us_m42_duster_1;M42
us_m42_duster_2;M42
jp_m19_shop;▅M19A1
jp_m19_0;Twin Gun Motor Carriage M19A1
jp_m19_1;▅M19A1
jp_m19_2;▅M19A1
us_m19_shop;M19A1
us_m19_0;Twin Gun Motor Carriage M19A1
us_m19_1;M19A1
us_m19_2;M19A1
us_halftrack_m13_shop;M13 MGMC
us_halftrack_m13_0;Multiple Gun Motor Carriage M13
us_halftrack_m13_1;M13 MGMC
us_halftrack_m13_2;M13 MGMC
us_t92_shop;T92
us_t92_0;76 mm Gun Tank T92
us_t92_1;T92
us_t92_2;T92
us_m56_scorpion_shop;M56
us_m56_scorpion_0;90-mm, Full Tracked Self-Propelled Gun M56 Scorpion
us_m56_scorpion_1;M56
us_m56_scorpion_2;M56
us_m41_walker_bulldog_shop;M41A1
us_m41_walker_bulldog_0;Light Tank M41A1 Walker Bulldog
us_m41_walker_bulldog_1;M41A1
us_m41_walker_bulldog_2;M41A1
us_m2a4_1st_armor_div_shop;M2A4 (1st Arm.Div.)
us_m2a4_1st_armor_div_0;Light Tank M2A4 (1st Arm.Div.)
us_m2a4_1st_armor_div_1;M2A4 (1st Arm.Div.)
us_m2a4_1st_armor_div_2;M2A4 (1st Arm.Div.)
us_m2a4_shop;M2A4
us_m2a4_0;Light Tank M2A4
us_m2a4_1;M2A4
us_m2a4_2;M2A4
us_m2a2_shop;M2A2
us_m2a2_0;Light Tank M2A2
us_m2a2_1;M2A2
us_m2a2_2;M2A2
us_m3a1_stuart_shop;M3A1 Stuart
us_m3a1_stuart_0;Light Tank M3A1 Stuart
us_m3a1_stuart_1;M3A1 Stuart
us_m3a1_stuart_2;M3A1 Stuart
us_m3a1_stuart_usmc_shop;M3A1 (USMC)
us_m3a1_stuart_usmc_0;Light Tank M3A1 Stuart (USMC)
us_m3a1_stuart_usmc_1;M3A1 (USMC)
us_m3a1_stuart_usmc_2;M3A1 (USMC)
us_m3_stuart_shop;M3 Stuart
us_m3_stuart_0;Light Tank M3 Stuart
us_m3_stuart_1;M3 Stuart
us_m3_stuart_2;M3 Stuart
us_m8_scott_shop;M8 HMC
us_m8_scott_0;75 mm Howitzer Motor Carriage M8
us_m8_scott_1;M8 HMC
us_m8_scott_2;M8 HMC
us_m5a1_stuart_canadian_5st_arm_shop;▃Stuart VI (5th CAD)
us_m5a1_stuart_canadian_5st_arm_0;▃Tank, Cruiser, Stuart VI (5th Canadian Armoured Division)
us_m5a1_stuart_canadian_5st_arm_1;▃Stuart VI (5th CAD)
us_m5a1_stuart_canadian_5st_arm_2;▃Stuart VI (5th CAD)
us_m5a1_stuart_shop;M5A1
us_m5a1_stuart_0;Light Tank M5A1 Stuart
us_m5a1_stuart_1;M5A1
us_m5a1_stuart_2;M5A1
us_m5a1_stuart_td_shop;M5A1 TD
us_m5a1_stuart_td_0;Light Tank M5A1 TD Stuart
us_m5a1_stuart_td_1;M5A1 TD
us_m5a1_stuart_td_2;M5A1 TD
us_m22_locust_shop;M22
us_m22_locust_0;Light Tank M22 Locust
us_m22_locust_1;M22
us_m22_locust_2;M22
us_m22_locust_race_shop;M22
us_m22_locust_race_0;Light Tank M22 Locust
us_m22_locust_race_1;M22
us_m22_locust_race_2;M22
us_m24_chaffee_tl_shop;M24 (TL)
us_m24_chaffee_tl_0;Light Tank M24 Chaffee
us_m24_chaffee_tl_1;M24 (TL)
us_m24_chaffee_tl_2;M24 (TL)
us_m24_chaffee_shop;M24
us_m24_chaffee_0;Light Tank M24 Chaffee
us_m24_chaffee_1;M24
us_m24_chaffee_2;M24
us_m103_shop;M103
us_m103_0;120 mm Gun Tank M103
us_m103_1;M103
us_m103_2;M103
us_m6a2e1_shop;M6A2E1
us_m6a2e1_0;Heavy Tank M6A2E1
us_m6a2e1_1;M6A2E1
us_m6a2e1_2;M6A2E1
us_t29_shop;T29
us_t29_0;Heavy Tank T29
us_t29_1;T29
us_t29_2;T29
us_t55e1_shop;T55E1
us_t55e1_0;3 inch Gun Motor Carriage T55E1
us_t55e1_1;T55E1
us_t55e1_2;T55E1
us_t32e1_shop;T32E1
us_t32e1_0;Heavy Tank T32E1
us_t32e1_1;T32E1
us_t32e1_2;T32E1
us_t32_shop;T32
us_t32_0;Heavy Tank T32
us_t32_1;T32
us_t32_2;T32
us_t32_tutorial_shop;T32
us_t32_tutorial_0;Heavy Tank T32
us_t32_tutorial_1;T32
us_t32_tutorial_2;T32
uk_fv4005_shop;FV4005
uk_fv4005_0;FV4005 Stage II
uk_fv4005_1;FV4005
uk_fv4005_2;FV4005
jp_type_75_shop;Type 75 SPH
jp_type_75_0;Type 75 SPH
jp_type_75_1;Type 75 SPH
jp_type_75_2;Type 75 SPH
jp_type_89_shop;Type 89
jp_type_89_0;Type 89
jp_type_89_1;Type 89
jp_type_89_2;Type 89
jp_type_93_shop;Type 93
jp_type_93_0;Type 93
jp_type_93_1;Type 93
jp_type_93_2;Type 93
jp_type_87_shop;Type 87
jp_type_87_0;Twin 35 mm Self-Propelled Gun Type 87
jp_type_87_1;Type 87
jp_type_87_2;Type 87
uk_centurion_mk_1_shop;Centurion Mk 1
uk_centurion_mk_1_0;Centurion Mk 1
uk_centurion_mk_1_1;Centurion Mk 1
uk_centurion_mk_1_2;Centurion Mk 1
us_t30_shop;T30
us_t30_0;Heavy Tank T30
us_t30_1;T30
us_t30_2;T30
us_t34_shop;T34
us_t34_0;Heavy Tank T34
us_t34_1;T34
us_t34_2;T34
uk_a_43_black_prince_shop;Black Prince
uk_a_43_black_prince_0;A.43 Black Prince
uk_a_43_black_prince_1;Black Prince
uk_a_43_black_prince_2;Black Prince
us_m4a3e2_sherman_jumbo_cobra_king_shop;Cobra King
us_m4a3e2_sherman_jumbo_cobra_king_0;Assault Tank M4A3E2 Jumbo "Cobra King"
us_m4a3e2_sherman_jumbo_cobra_king_1;M4A3E2 "Cobra King"
us_m4a3e2_sherman_jumbo_cobra_king_2;M4A3E2 "Cobra King"
us_m4a3e2_76w_sherman_jumbo_shop;M4A3E2 (76) W
us_m4a3e2_76w_sherman_jumbo_0;Assault Tank M4A3E2 (76) W Jumbo
us_m4a3e2_76w_sherman_jumbo_1;M4A3E2 (76) W
us_m4a3e2_76w_sherman_jumbo_2;M4A3E2 (76) W
us_m4a3e2_sherman_jumbo_shop;M4A3E2
us_m4a3e2_sherman_jumbo_0;Assault Tank M4A3E2 Jumbo
us_m4a3e2_sherman_jumbo_1;M4A3E2
us_m4a3e2_sherman_jumbo_2;M4A3E2
us_m6a1_shop;M6A1
us_m6a1_0;Heavy Tank M6A1
us_m6a1_1;M6A1
us_m6a1_2;M6A1
us_m2_medium_shop;M2
us_m2_medium_0;Medium Tank M2
us_m2_medium_1;M2
us_m2_medium_2;M2
us_mk1_grant_shop;▃Grant I
us_mk1_grant_0;▃Grant I
us_mk1_grant_1;▃Grant I
us_mk1_grant_2;▃Grant I
uk_mk1_grant_shop;Grant I
us_m4a5_ram_2_0;M4A5 Ram II
us_m4a5_ram_2_1;M4A5
us_m4a5_ram_2_2;M4A5
us_m4a5_ram_2_shop;M4A5
uk_mk1_grant_0;Grant I
uk_mk1_grant_1;Grant I
uk_mk1_grant_2;Grant I
us_m3_lee_shop;M3 Lee
us_m3_lee_0;Medium Tank M3 Lee
us_m3_lee_1;M3 Lee
us_m3_lee_2;M3 Lee
ussr_m3c_shop;▂M3 Medium
ussr_m3c_0;▂M3 Medium
ussr_m3c_1;▂M3 Medium
ussr_m3c_2;▂M3 Medium
us_m46_patton_shop;M46
us_m46_patton_0;Medium Tank M46 Patton
us_m46_patton_1;M46
us_m46_patton_2;M46
us_hstv_l_shop;HSTV-L
us_hstv_l_0;High Survivability Test Vehicle — Lightweight
us_hstv_l_1;HSTV-L
us_hstv_l_2;HSTV-L
us_m551_shop;M551
us_m551_0;152-mm Gun / Launcher M551 Sheridan
us_m551_1;M551
us_m551_2;M551
us_t95e1_shop;T95E1
us_t95e1_0;Medium Tank T95E1
us_t95e1_1;T95E1
us_t95e1_2;T95E1
us_m60_shop;M60
us_m60_0;105 mm Gun Tank M60
us_m60_1;M60
us_m60_2;M60
us_m60a3_tts_shop;M60A3 TTS
us_m60a3_tts_0;105 mm Gun Tank M60A3 TTS
us_m60a3_tts_1;M60A3 TTS
us_m60a3_tts_2;M60A3 TTS
us_m60a1_shop;M60A1 (AOS)
us_m60a1_0;105 mm Gun Tank M60A1 (AOS)
us_m60a1_1;M60A1 (AOS)
us_m60a1_2;M60A1 (AOS)
us_m1128_mgs_shop;M1128
us_m1128_mgs_0;M1128
us_m1128_mgs_1;M1128
us_m1128_mgs_2;M1128
us_m60a2_shop;M60A2
us_m60a2_0;152 mm Gun Tank M60A2
us_m60a2_1;M60A2
us_m60a2_2;M60A2
us_m60a3_slep_shop;M60 AMBT
us_m60a3_slep_0;M60 AMBT
us_m60a3_slep_1;M60 AMBT
us_m60a3_slep_2;M60 AMBT
us_m163_vulcan_shop;M163
us_m163_vulcan_0;Gun, Air Defence Artillery, Self-Propelled: 20-mm, M163
us_m163_vulcan_1;M163
us_m163_vulcan_2;M163
shop/group/germ_leopard_1_late_group;Leopard A1A1/1A5
shop/group/germ_prewar_pz_III_group;Pz.III B/E
shop/group/germ_Marder_III_group;Marder III/III H
shop/group/us_m46_m47_group;M46/M47
shop/group/us_mbt_xm_group;MBT/XM
shop/group/uk_crusader_group;Crusader II/III
shop/group/uk_cromwell_group;Cromwell V/I
shop/group/uk_valentine_group;Valentine
shop/group/uk_chieftain_mk_3_5_group;Chieftain 3/5
shop/group/us_m48_m60_group;M48/M60
us_m47_patton_II_shop;M47
us_m47_patton_II_0;90 mm Gun Tank M47 Patton II
us_m47_patton_II_1;M47
us_m47_patton_II_2;M47
us_m48a1_patton_III_shop;M48A1
us_m48a1_patton_III_0;90 mm Gun Tank M48A1 Patton III
us_m48a1_patton_III_1;M48A1
us_m48a1_patton_III_2;M48A1
us_m26e1_pershing_shop;M26E1
us_m26e1_pershing_0;Medium Tank M26E1
us_m26e1_pershing_1;M26E1
us_m26e1_pershing_2;M26E1
us_t25_shop;T25
us_t25_0;Medium Tank T25
us_t25_1;T25
us_t25_2;T25
us_m26_t99_shop;M26 T99
us_m26_t99_0;Medium Tank M26 T99
us_m26_t99_1;M26 T99
us_m26_t99_2;M26 T99
us_t26e5_shop;T26E5
us_t26e5_0;Assault tank T26E5
us_t26e5_1;T26E5
us_t26e5_2;T26E5
us_m26_pershing_shop;M26
us_m26_pershing_0;Medium Tank M26 Pershing
us_m26_pershing_1;M26
us_m26_pershing_2;M26
us_t26e4_superpershing_shop;T26E1-1
us_t26e4_superpershing_0;Heavy Tank T26E1-1 "Super Pershing"
us_t26e4_superpershing_1;T26E1-1
us_t26e4_superpershing_2;T26E1-1
us_m4_sherman_calliope_shop;Calliope
us_m4_sherman_calliope_0;Rocket Launcher T34 Calliope
us_m4_sherman_calliope_1;Calliope
us_m4_sherman_calliope_2;Calliope
us_m4_sherman_shop;M4
us_m4_sherman_0;Medium Tank M4 Sherman
us_m4_sherman_1;M4
us_m4_sherman_2;M4
us_m4a1_1942_sherman_shop;M4A1
us_m4a1_1942_sherman_0;Medium Tank M4A1 Sherman
us_m4a1_1942_sherman_1;M4A1
us_m4a1_1942_sherman_2;M4A1
ussr_m4a2_76w_sherman_shop;▂M4A2 (76) W
ussr_m4a2_76w_sherman_0;▂M4A2 (76) W
ussr_m4a2_76w_sherman_1;▂M4A2 (76) W
ussr_m4a2_76w_sherman_2;▂M4A2 (76) W
us_lvt_a_4_shop;LVT(A)(4)
us_lvt_a_4_0;LVT(A)(4)
us_lvt_a_4_1;LVT(A)(4)
us_lvt_a_4_2;LVT(A)(4)
us_lvt_a_1_shop;LVT(A)(1)
us_lvt_a_1_0;LVT(A)(1)
us_lvt_a_1_1;LVT(A)(1)
us_lvt_a_1_2;LVT(A)(1)
us_lvt_4_zis_2_shop;▃LVT(A)(4) (ZIS-2)
us_lvt_4_zis_2_0;▃LVT(A)(4) (ZIS-2)
us_lvt_4_zis_2_1;▃LVT(A)(4) (ZIS-2)
us_lvt_4_zis_2_2;▃LVT(A)(4) (ZIS-2)
us_t14_shop;T14
us_t14_0;Assault Tank T14
us_t14_1;T14
us_t14_2;T14
us_m4a2_76w_sherman_shop;M4A2 (76) W
us_m4a2_76w_sherman_0;Medium Tank M4A2 (76) W Sherman
us_m4a2_76w_sherman_1;M4A2 (76) W
us_m4a2_76w_sherman_2;M4A2 (76) W
us_m4a1_76w_sherman_shop;M4A1 (76) W
us_m4a1_76w_sherman_0;Medium Tank M4A1 (76) W Sherman
us_m4a1_76w_sherman_1;M4A1 (76) W
us_m4a1_76w_sherman_2;M4A1 (76) W
us_t20_shop;T20
us_t20_0;Medium Tank T20
us_t20_1;T20
us_t20_2;T20
us_m4a2_sherman_shop;M4A2
us_m4a2_sherman_0;Medium Tank M4A2 Sherman
us_m4a2_sherman_1;M4A2
us_m4a2_sherman_2;M4A2
us_m4a3_105_sherman_shop;M4A3 (105)
us_m4a3_105_sherman_0;Medium Tank M4A3 (105) HVSS Sherman
us_m4a3_105_sherman_1;M4A3 (105)
us_m4a3_105_sherman_2;M4A3 (105)
us_m4a3e8_76w_sherman_shop;M4A3 (76) W
us_m4a3e8_76w_sherman_0;Medium Tank M4A3 (76) W HVSS Sherman
us_m4a3e8_76w_sherman_1;M4A3 (76) W
us_m4a3e8_76w_sherman_2;M4A3 (76) W
us_m4a2_1944_shop;M4A2 (1944)
us_m4a2_1944_0;Medium Tank M4A2 Sherman (1944)
us_m4a2_1944_1;M4A2 (1944)
us_m4a2_1944_2;M4A2 (1944)
us_m8a1_shop;M8A1 GMC
us_m8a1_0;75 mm Gun Motor Carriage M8
us_m8a1_1;M8A1 GMC
us_m8a1_2;M8A1 GMC
us_t28_shop;T28
us_t28_0;Super Heavy Tank T28
us_t28_1;T28
us_t28_2;T28
us_t95_shop;T95
us_t95_0;105 mm Gun Motor Carriage T95
us_t95_1;T95
us_t95_2;T95
us_m36_shop;M36 GMC
us_m36_0;90-mm Gun Motor Carriage M36
us_m36_1;M36
us_m36_2;M36
us_m10_shop;M10 GMC
us_m10_0;3-inch Gun Motor Carriage M10
us_m10_1;M10
us_m10_2;M10
us_m18_super_hellcat_shop;Super Hellcat
us_m18_super_hellcat_0;M18 90-mm Gun Motor Carriage
us_m18_super_hellcat_1;Super Hellcat
us_m18_super_hellcat_2;Super Hellcat
us_m18_hellcat_shop;M18 GMC
us_m18_hellcat_0;M18 Gun Motor Carriage
us_m18_hellcat_1;M18
us_m18_hellcat_2;M18
us_m18_hellcat_black_cat_shop;M18 "Black Cat"
us_m18_hellcat_black_cat_0;M18 Gun Motor Carriage "Black Cat"
us_m18_hellcat_black_cat_1;M18 "Black Cat"
us_m18_hellcat_black_cat_2;M18 "Black Cat"
us_m18_hellcat_black_cat_race_shop;"Racing" M18
us_m18_hellcat_black_cat_race_0;"Racing" M18
us_m18_hellcat_black_cat_race_1;"Racing" M18
us_m18_hellcat_black_cat_race_2;"Racing" M18
us_halftrack_m3_75mm_gmc_shop;M3 GMC
